quote_datetime,option_type,expiration,strike,mid
2025-12-01T09:31:00Z,C,2025-12-19,6750,135.95
2025-12-01T09:32:00Z,C,2025-12-19,6750,134.15
2025-12-01T09:33:00Z,C,2025-12-19,6750,134.8
2025-12-01T09:34:00Z,C,2025-12-19,6750,136.5
2025-12-01T09:35:00Z,C,2025-12-19,6750,137.85
2025-12-01T09:36:00Z,C,2025-12-19,6750,138.05
2025-12-01T09:37:00Z,C,2025-12-19,6750,137.75
2025-12-01T09:38:00Z,C,2025-12-19,6750,140.55
2025-12-01T09:39:00Z,C,2025-12-19,6750,140.4
2025-12-01T09:40:00Z,C,2025-12-19,6750,136.2
2025-12-01T09:41:00Z,C,2025-12-19,6750,136.2
2025-12-01T09:42:00Z,C,2025-12-19,6750,136.9
2025-12-01T09:43:00Z,C,2025-12-19,6750,136.3
2025-12-01T09:44:00Z,C,2025-12-19,6750,133.14999999999998
2025-12-01T09:45:00Z,C,2025-12-19,6750,135.25
2025-12-01T09:46:00Z,C,2025-12-19,6750,138
2025-12-01T09:47:00Z,C,2025-12-19,6750,139
2025-12-01T09:48:00Z,C,2025-12-19,6750,142.14999999999998
2025-12-01T09:49:00Z,C,2025-12-19,6750,141.4
2025-12-01T09:50:00Z,C,2025-12-19,6750,140.65
2025-12-01T09:51:00Z,C,2025-12-19,6750,143.5
2025-12-01T09:52:00Z,C,2025-12-19,6750,144.2
2025-12-01T09:53:00Z,C,2025-12-19,6750,144.9
2025-12-01T09:54:00Z,C,2025-12-19,6750,144.9
2025-12-01T09:55:00Z,C,2025-12-19,6750,146.85000000000002
2025-12-01T09:56:00Z,C,2025-12-19,6750,148.35000000000002
2025-12-01T09:57:00Z,C,2025-12-19,6750,148.5
2025-12-01T09:58:00Z,C,2025-12-19,6750,149.45
2025-12-01T09:59:00Z,C,2025-12-19,6750,146.85
2025-12-01T10:00:00Z,C,2025-12-19,6750,148.14999999999998
2025-12-01T10:01:00Z,C,2025-12-19,6750,149.39999999999998
2025-12-01T10:02:00Z,C,2025-12-19,6750,148.1
2025-12-01T10:03:00Z,C,2025-12-19,6750,146.45
2025-12-01T10:04:00Z,C,2025-12-19,6750,144.1
2025-12-01T10:05:00Z,C,2025-12-19,6750,144.8
2025-12-01T10:06:00Z,C,2025-12-19,6750,144.64999999999998
2025-12-01T10:07:00Z,C,2025-12-19,6750,145.1
2025-12-01T10:08:00Z,C,2025-12-19,6750,145.2
2025-12-01T10:09:00Z,C,2025-12-19,6750,145.7
2025-12-01T10:10:00Z,C,2025-12-19,6750,144.3
2025-12-01T10:11:00Z,C,2025-12-19,6750,145.14999999999998
2025-12-01T10:12:00Z,C,2025-12-19,6750,144.05
2025-12-01T10:13:00Z,C,2025-12-19,6750,144.85000000000002
2025-12-01T10:14:00Z,C,2025-12-19,6750,145.7
2025-12-01T10:15:00Z,C,2025-12-19,6750,143.25
2025-12-01T10:16:00Z,C,2025-12-19,6750,141.9
2025-12-01T10:17:00Z,C,2025-12-19,6750,143.85000000000002
2025-12-01T10:18:00Z,C,2025-12-19,6750,142.85000000000002
2025-12-01T10:19:00Z,C,2025-12-19,6750,142.95
2025-12-01T10:20:00Z,C,2025-12-19,6750,143.4
2025-12-01T10:21:00Z,C,2025-12-19,6750,141.5
2025-12-01T10:22:00Z,C,2025-12-19,6750,140.5
2025-12-01T10:23:00Z,C,2025-12-19,6750,139.85000000000002
2025-12-01T10:24:00Z,C,2025-12-19,6750,139.7
2025-12-01T10:25:00Z,C,2025-12-19,6750,139.1
2025-12-01T10:26:00Z,C,2025-12-19,6750,138.1
2025-12-01T10:27:00Z,C,2025-12-19,6750,139.35000000000002
2025-12-01T10:28:00Z,C,2025-12-19,6750,138.4
2025-12-01T10:29:00Z,C,2025-12-19,6750,139.14999999999998
2025-12-01T10:30:00Z,C,2025-12-19,6750,138.1
2025-12-01T10:31:00Z,C,2025-12-19,6750,136.5
2025-12-01T10:32:00Z,C,2025-12-19,6750,138.14999999999998
2025-12-01T10:33:00Z,C,2025-12-19,6750,137.64999999999998
2025-12-01T10:34:00Z,C,2025-12-19,6750,136.2
2025-12-01T10:35:00Z,C,2025-12-19,6750,134.1
2025-12-01T10:36:00Z,C,2025-12-19,6750,134.95
2025-12-01T10:37:00Z,C,2025-12-19,6750,137.55
2025-12-01T10:38:00Z,C,2025-12-19,6750,135.7
